Accel_x,Accel_y,Accel_z
0.243,0.626,1.207
0.952,1.143,2.246
0.669,0.028,0.967
0.39,0.279,1.039
0.352,0.133,0.811
0.355,0.12,0.737
0.433,0.361,0.706
0.678,0.573,0.708
0.688,0.57,0.499
0.654,0.716,0.576
0.584,0.792,0.519
0.573,0.763,0.545
0.559,0.746,0.596
0.571,0.671,0.68
0.58,0.493,0.672
0.669,0.474,0.684
0.634,0.339,0.704
0.691,0.286,0.71
0.633,0.284,0.73
0.603,0.238,0.687
0.64,0.239,0.76
0.594,0.189,0.722
0.637,0.264,0.797
0.634,0.253,0.724
0.603,0.265,0.73
0.613,0.291,0.719
0.61,0.288,0.716
0.641,0.289,0.728
0.648,0.297,0.729
0.64,0.291,0.738
0.627,0.284,0.748
0.625,0.294,0.759
0.61,0.34,0.764
0.599,0.314,0.759
0.569,0.253,0.729
0.533,0.344,0.74
0.518,0.432,0.749
0.461,0.292,0.718
0.458,0.188,0.744
0.49,0.365,0.809
0.569,0.589,0.8
0.576,0.497,0.766
0.582,0.455,0.742
0.529,0.351,0.731
0.495,0.326,0.739
0.435,0.34,0.727
0.404,0.309,0.722
0.696,0.52,1.11
0.383,0.306,0.825
0.524,0.379,0.835
0.467,0.383,0.821
0.516,0.387,0.882
0.534,0.423,0.808
0.457,0.469,0.772
0.495,0.531,0.798
0.526,0.491,0.824
0.5,0.508,0.668
0.56,0.517,0.797
0.555,0.454,0.713
0.607,0.596,0.741
0.367,0.493,0.631
0.477,0.773,0.717
0.267,0.671,0.764
0.273,0.684,0.605
0.37,0.668,0.718
0.251,0.469,0.695
0.555,0.674,0.791
0.426,0.498,0.695
0.502,0.631,0.751
0.31,0.695,0.749
0.339,0.657,0.702
0.477,0.509,0.68
0.552,0.484,0.678
0.732,0.615,0.857
0.825,0.936,0.911
0.857,1.169,0.963
0.847,1.179,0.951
0.815,1.187,0.912
0.759,1.096,0.778
0.672,0.843,0.703
0.627,0.604,0.643
0.534,0.529,0.719
0.421,0.465,0.775
0.373,0.397,0.89
0.338,0.308,0.887
0.249,0.148,0.884
0.237,0.124,0.911
0.189,0.129,0.901
0.193,0.092,0.868
0.198,0.152,0.912
0.228,0.184,0.946
0.276,0.166,0.933
0.306,0.15,0.892
0.31,0.146,0.88
0.326,0.193,0.908
0.337,0.17,0.934
0.344,0.194,0.956
0.311,0.235,0.953
0.285,0.25,0.944
0.225,0.259,0.947
0.179,0.281,0.957
0.154,0.284,0.966
0.121,0.276,0.981
0.12,0.254,0.987
0.123,0.31,1.045
0.159,0.331,0.87
0.14,0.325,0.789
0.126,0.275,0.775
0.105,0.295,0.81
0.094,0.444,0.862
0.102,0.455,0.863
0.099,0.541,0.878
0.098,0.691,0.964
0.135,0.61,0.99
0.16,0.521,0.996
0.176,0.35,0.826
0.119,0.317,0.862
0.092,0.343,1.003
0.07,0.58,1.71
0.241,0.569,1.576
0.276,0.142,1.05
0.067,-0.047,1.272
0.287,-0.443,1.032
0.496,-0.724,0.942
0.559,-0.795,0.733
0.645,-0.771,0.806
0.503,-0.22,0.81
0.38,0.355,0.867
0.212,0.392,0.898
0.097,0.283,0.92
0.058,0.217,0.951
0.001,0.096,0.963
0.017,0.106,0.997
-0.032,0.047,0.809
-0.034,-0.038,0.774
0.052,-0.05,0.787
0.065,-0.053,0.707
0.089,-0.07,0.659
0.115,-0.115,0.691
0.107,-0.155,0.794
0.152,-0.201,0.915
0.197,-0.227,0.986
0.246,-0.284,0.989
0.236,-0.245,1.007
0.235,-0.21,1.012
0.222,-0.215,0.976
0.222,-0.195,0.937
0.199,-0.201,0.915
0.181,-0.223,0.867
0.138,-0.221,0.856
0.112,-0.193,0.848
0.104,-0.15,0.885
0.109,-0.102,0.913
0.157,0.023,0.936
0.173,0.07,1.002
0.191,0.098,0.994
0.219,0.148,0.995
0.227,0.197,1.008
0.237,0.217,1.042
0.25,0.268,1.07
0.249,0.3,1.104
0.227,0.33,1.089
0.21,0.38,1.082
0.195,0.394,1.082
0.145,0.375,1.071
0.126,0.329,1.037
0.077,0.321,0.993
0.039,0.324,0.968
0.013,0.307,0.873
-0.075,0.309,0.793
-0.099,0.353,0.769
-0.068,0.372,0.806
-0.08,0.359,0.828
-0.113,0.356,0.859
-0.116,0.319,0.903
-0.027,0.318,0.909
0.039,0.293,0.932
0.067,0.322,0.97
0.139,0.338,0.985
0.241,0.368,0.997
0.297,0.386,1.001
0.395,0.421,1.002
0.435,0.458,1.037
0.503,0.48,1.063
0.557,0.517,1.071
0.583,0.604,1.123
0.802,0.698,1.328
0.954,0.856,1.307
0.938,0.84,1.268
0.866,0.791,1.228
0.719,0.65,1.094
0.619,0.437,0.938
0.502,0.4,0.914
0.465,0.271,0.847
0.379,0.251,0.81
0.476,0.165,0.902
0.479,0.199,0.938
0.503,0.244,0.994
0.434,0.316,0.931
0.406,0.328,0.8
0.38,0.456,0.733
0.318,0.594,0.596
0.332,0.638,0.593
0.363,0.737,0.607
0.369,0.823,0.596
0.352,0.887,0.597
0.315,0.963,0.614
0.292,0.998,0.7
0.271,1.047,0.747
0.253,1.186,0.803
0.304,1.128,0.775
0.411,0.931,0.716
0.44,0.778,0.539
0.402,0.778,0.543
0.378,0.763,0.582
0.38,0.697,0.519
0.35,0.522,0.475
0.321,0.498,0.417
0.238,0.495,0.383
0.181,0.474,0.318
0.081,0.476,0.291
0.005,0.476,0.234
-0.021,0.459,0.134
-0.013,0.417,0.112
-0.083,0.314,0.11
-0.064,0.281,0.128
0.034,0.324,0.096
0.067,0.415,0.02
0.076,0.426,0.007
0.075,0.443,-0.006
0.088,0.466,-0.03
0.167,0.415,-0.026
0.242,0.462,-0.111
0.187,0.58,-0.15
0.237,0.492,-0.148
0.382,0.546,-0.248
0.869,0.346,-0.313
0.811,0.556,-0.395
0.848,0.581,-0.579
0.874,0.585,-0.597
0.885,0.581,-0.617
0.884,0.579,-0.624
0.873,0.567,-0.63
0.861,0.569,-0.634
0.85,0.57,-0.634
0.844,0.588,-0.628
0.835,0.595,-0.621
0.83,0.607,-0.608
0.819,0.631,-0.601
0.824,0.655,-0.581
0.813,0.641,-0.554
0.808,0.608,-0.524
0.801,0.6,-0.511
0.791,0.59,-0.494
0.771,0.585,-0.484
0.758,0.598,-0.513
0.732,0.576,-0.486
0.763,0.518,-0.476
0.73,0.523,-0.48
0.706,0.527,-0.475
0.715,0.515,-0.487
0.72,0.498,-0.497
0.714,0.541,-0.495
0.728,0.56,-0.503
0.687,0.595,-0.508
0.68,0.603,-0.525
0.663,0.586,-0.543
0.654,0.564,-0.543
0.66,0.553,-0.54
0.671,0.551,-0.533
0.681,0.547,-0.537
0.684,0.549,-0.537
0.688,0.553,-0.53
0.701,0.554,-0.527
0.711,0.566,-0.516
0.721,0.573,-0.511
0.732,0.583,-0.513
0.73,0.597,-0.515
0.715,0.611,-0.511
0.73,0.599,-0.515
0.756,0.59,-0.53
0.778,0.588,-0.518
0.772,0.591,-0.528
0.741,0.6,-0.529
0.724,0.602,-0.535
0.715,0.606,-0.531
0.72,0.606,-0.524
0.724,0.598,-0.53
0.732,0.598,-0.526
0.743,0.596,-0.531
0.756,0.608,-0.515
0.741,0.625,-0.509
0.734,0.611,-0.528
0.726,0.599,-0.546
0.732,0.605,-0.532
0.735,0.612,-0.523
0.735,0.616,-0.488
0.784,0.652,-0.456
0.795,0.644,-0.473
0.778,0.615,-0.462
0.779,0.63,-0.43
0.773,0.614,-0.427
0.787,0.654,-0.387
0.766,0.654,-0.386
0.733,0.638,-0.419
0.732,0.587,-0.442
0.749,0.591,-0.43
0.732,0.616,-0.421
0.66,0.574,-0.466
0.641,0.583,-0.46
0.61,0.578,-0.507
0.53,0.502,-0.522
0.555,0.548,-0.493
0.574,0.527,-0.531
0.547,0.477,-0.519
0.547,0.486,-0.487
0.57,0.496,-0.449
0.544,0.427,-0.454
0.52,0.447,-0.414
0.541,0.428,-0.354
0.549,0.369,-0.341
0.569,0.416,-0.224
0.605,0.447,-0.166
0.614,0.478,-0.165
0.561,0.471,-0.178
0.55,0.394,-0.171
0.549,0.381,-0.126
0.597,0.409,-0.12
0.538,0.424,-0.092
0.554,0.399,-0.063
0.518,0.386,-0.085
0.474,0.305,-0.102
0.452,0.242,-0.068
0.433,0.319,0.152
0.517,0.164,0.153
0.538,0.013,0.099
0.594,0.03,0.218
0.65,0.037,0.301
0.679,0.068,0.486
0.629,0.104,0.586
0.504,0.011,0.618
0.466,-0.012,0.603
0.397,0.013,0.742
0.341,0.064,0.684
0.324,0.065,0.759
0.233,0.008,0.792
0.203,-0.02,0.84
0.251,0.02,0.834
0.208,0.072,0.848
0.176,0.147,0.858
0.135,0.166,0.861
0.087,0.2,0.895
0.12,0.201,1.374
0.136,0.112,1.207
0.155,-0.047,0.906
0.213,-0.102,1.788
0.638,-0.23,2.165
0.587,-0.577,1.699
0.549,-0.801,1.346
0.382,-0.832,1.039
0.161,-0.708,0.915
-0.069,-0.619,0.825
-0.133,-0.391,0.804
-0.33,-0.355,0.839
-0.487,-0.211,0.92
-0.519,-0.194,0.999
-0.497,-0.233,1.091
-0.436,-0.252,1.127
-0.352,-0.286,1.202
-0.322,-0.315,1.281
-0.252,-0.373,1.328
-0.204,-0.403,1.351
-0.144,-0.509,1.382
-0.093,-0.608,1.415
-0.082,-0.563,1.474
-0.075,-0.542,1.492
0.002,-0.53,1.529
-0.03,-0.516,1.475
-0.109,-0.56,1.44
-0.146,-0.531,1.414
-0.147,-0.469,1.334
-0.139,-0.452,1.222
-0.08,-0.422,1.171
-0.049,-0.384,1.077
-0.014,-0.369,0.988
-0.024,-0.33,0.95
-0.038,-0.302,0.895
-0.046,-0.291,0.849
-0.074,-0.277,0.83
-0.108,-0.287,0.809
-0.12,-0.31,0.818
-0.129,-0.317,0.828
-0.132,-0.331,0.83
-0.003,-0.335,0.824
-0.113,-0.33,0.816
-0.1,-0.314,0.811
-0.087,-0.306,0.814
-0.086,-0.295,0.805
-0.084,-0.307,0.81
-0.075,-0.328,0.835
-0.075,-0.34,0.85
-0.075,-0.354,0.857
-0.066,-0.357,0.871
-0.055,-0.357,0.878
-0.05,-0.355,0.891
-0.051,-0.351,0.912
-0.058,-0.34,0.919
-0.064,-0.344,0.937
-0.072,-0.336,0.957
-0.075,-0.331,0.966
-0.079,-0.332,0.973
-0.082,-0.342,0.99
-0.089,-0.345,1.008
-0.09,-0.347,1.014
-0.091,-0.348,1.028
-0.085,-0.345,1.043
-0.067,-0.346,1.065
-0.044,-0.36,1.076
-0.031,-0.369,1.094
-0.029,-0.37,1.093
-0.024,-0.371,1.088
-0.017,-0.374,1.074
-0.018,-0.374,1.06
-0.027,-0.368,1.046
-0.032,-0.355,1.04
-0.029,-0.342,1.035
-0.021,-0.336,1.036
-0.014,-0.325,1.035
-0.011,-0.336,1.03
-0.009,-0.338,1.041
-0.009,-0.346,1.037
-0.011,-0.338,1.02
-0.012,-0.329,1.02
-0.017,-0.325,1.021
-0.025,-0.329,1.021
-0.031,-0.322,1.021
-0.03,-0.332,1.032
-0.042,-0.33,1.032
-0.048,-0.331,1.024
-0.05,-0.338,1.029
-0.043,-0.343,1.027
-0.031,-0.328,1.027
-0.025,-0.281,1.043
-0.009,-0.262,1.065
-0.007,-0.258,1.069
-0.011,-0.254,1.076
-0.014,-0.251,1.077
-0.019,-0.255,1.074
-0.013,-0.231,1.072
0.011,-0.216,1.081
0.012,-0.237,1.099
-0.003,-0.232,1.093
-0.014,-0.254,1.087
-0.031,-0.254,1.08
0.002,-0.233,1.079
-0.004,-0.225,1.086
-0.009,-0.192,1.079
-0.022,-0.186,1.022
-0.124,-0.163,0.968
-0.103,-0.116,0.992
-0.124,-0.123,0.978
-0.106,-0.147,0.976
-0.113,-0.173,0.955
-0.115,-0.184,0.947
-0.109,-0.182,0.956
-0.097,-0.142,0.971
-0.069,-0.09,0.992
0.001,-0.042,1.084
0.124,0.007,1.142
0.15,0.095,1.13
0.18,0.136,1.135
0.178,0.134,1.105
0.136,0.161,1.079
0.109,0.157,0.968
0.002,0.165,0.851
-0.029,0.214,0.872
0.422,0.81,0.78
0.377,0.856,0.758
0.351,0.843,0.675
0.31,0.82,0.617
0.296,0.765,0.592
0.296,0.726,0.566
0.265,0.707,0.554
0.279,0.667,0.559
0.301,0.652,0.579
0.33,0.637,0.529
0.277,0.601,0.513
0.284,0.608,0.537
0.323,0.61,0.521
0.302,0.578,0.399
0.352,0.571,0.361
0.453,0.639,0.358
0.376,0.782,0.343
0.351,0.857,0.333
0.323,0.934,0.254
0.356,0.946,0.206
0.333,0.884,0.057
0.195,0.857,0.025
0.32,0.821,0.084
0.373,0.791,0.122
0.386,0.708,0.135
0.418,0.637,0.187
0.479,0.609,0.242
0.544,0.57,0.24
0.595,0.549,0.218
0.6,0.555,0.165
0.526,0.613,0.139
0.515,0.691,0.062
0.574,0.659,-0.1
0.523,0.858,0.01
0.503,0.919,0.022
0.526,0.87,-0.072
0.546,0.784,-0.11
0.467,0.741,-0.153
0.519,0.658,-0.084
0.586,0.629,-0.085
0.555,0.573,-0.098
0.557,0.572,-0.123
0.563,0.591,-0.144
0.596,0.628,-0.184
0.606,0.644,-0.219
0.622,0.642,-0.229
0.603,0.685,-0.268
0.597,0.671,-0.285
0.592,0.61,-0.309
0.626,0.527,-0.41
0.594,0.596,-0.315
0.57,0.594,-0.321
0.595,0.56,-0.372
0.581,0.506,-0.348
0.582,0.446,-0.387
0.597,0.438,-0.387
0.647,0.418,-0.416
0.665,0.408,-0.44
0.682,0.41,-0.413
0.674,0.405,-0.406
0.677,0.408,-0.421
0.698,0.456,-0.445
0.697,0.445,-0.468
0.711,0.425,-0.457
0.736,0.386,-0.452
0.736,0.386,-0.471
0.737,0.394,-0.502
0.765,0.382,-0.513
0.773,0.363,-0.53
0.787,0.366,-0.541
0.814,0.37,-0.543
0.835,0.364,-0.556
0.848,0.364,-0.573
0.865,0.353,-0.583
0.882,0.345,-0.597
0.885,0.311,-0.603
0.882,0.295,-0.589
0.907,0.264,-0.576
0.933,0.253,-0.552
0.933,0.257,-0.549
0.923,0.25,-0.537
0.938,0.24,-0.533
0.938,0.242,-0.534
0.937,0.244,-0.536
0.931,0.241,-0.538
0.926,0.235,-0.529
0.921,0.226,-0.51
0.912,0.211,-0.506
0.91,0.203,-0.508
0.908,0.205,-0.503
0.903,0.209,-0.499
0.9,0.202,-0.485
0.892,0.196,-0.462
0.891,0.181,-0.446
0.893,0.176,-0.432
0.899,0.183,-0.44
0.9,0.204,-0.445
0.887,0.213,-0.464
0.884,0.215,-0.474
0.884,0.207,-0.474
0.882,0.198,-0.479
0.883,0.189,-0.472
0.882,0.186,-0.463
0.881,0.183,-0.454
0.874,0.181,-0.439
0.872,0.174,-0.427
0.874,0.165,-0.417
0.87,0.166,-0.417
0.868,0.173,-0.424
0.864,0.181,-0.431
0.861,0.196,-0.439
0.862,0.198,-0.447
0.864,0.196,-0.45
0.865,0.189,-0.451
0.864,0.179,-0.46
0.868,0.181,-0.469
0.875,0.191,-0.475
0.876,0.192,-0.487
0.878,0.189,-0.488
0.538,0.065,1.493
0.356,0.106,1.347
0.298,0.053,1.148
0.244,0.017,1.067
0.358,0.001,1.031
0.333,0.027,1.047
0.422,0.052,1.061
0.449,0.061,1.037
0.427,0.063,1.034
0.352,0.059,1.043
0.383,0.028,1.04
0.268,-0.02,0.885
0.133,-0.13,0.938
0.069,-0.272,0.795
-0.043,-0.282,0.782
-0.081,-0.267,0.786
-0.078,-0.234,0.766
-0.062,-0.258,0.788
-0.027,-0.252,0.824
0.046,-0.212,0.909
0.084,-0.185,0.994
0.148,-0.172,1.039
0.16,-0.145,1.045
0.153,-0.108,1.031
0.142,-0.095,0.994
0.125,-0.09,0.979
0.116,-0.102,0.958
0.127,-0.115,0.961
0.133,-0.125,0.976
0.15,-0.122,0.979
0.156,-0.106,0.982
0.161,-0.093,0.979
0.164,-0.069,0.976
0.17,-0.058,0.978
0.178,-0.061,0.984
0.178,-0.076,0.992
0.177,-0.098,0.997
0.169,-0.105,0.995
0.159,-0.113,0.992
0.156,-0.115,0.983
0.15,-0.115,0.976
0.15,-0.111,0.973
0.156,-0.097,0.975
0.161,-0.084,0.981
0.165,-0.081,0.991
0.166,-0.084,0.993
0.166,-0.093,0.996
0.162,-0.096,0.994
0.162,-0.098,0.988
0.159,-0.103,0.988
0.158,-0.1,0.988
0.158,-0.101,0.992
0.155,-0.105,0.995
0.155,-0.104,1.002
0.152,-0.105,1.003
0.149,-0.106,1.007
0.146,-0.107,1.018
0.144,-0.115,1.021
0.144,-0.122,1.029
0.144,-0.122,1.043
0.151,-0.121,1.052
0.158,-0.113,1.065
0.163,-0.107,1.071
0.166,-0.108,1.071
0.159,-0.112,1.07
0.158,-0.108,1.071
0.158,-0.103,1.073
0.158,-0.089,1.072
0.158,-0.077,1.065
0.153,-0.072,1.068
0.15,-0.063,1.069
0.152,-0.06,1.065
0.158,-0.055,1.071
0.167,-0.041,1.076
0.171,-0.032,1.07
0.172,-0.016,1.064
0.168,-0.007,1.067
0.171,0.01,1.064
0.167,0.031,1.057
0.17,0.04,1.057
0.172,0.054,1.055
0.171,0.059,1.051
0.166,0.065,1.051
0.166,0.063,1.052
0.17,0.064,1.053
0.173,0.066,1.056
0.178,0.069,1.048
0.18,0.075,1.047
0.176,0.079,1.044
0.174,0.084,1.043
0.177,0.087,1.042
0.173,0.089,1.038
0.179,0.094,1.042
0.188,0.099,1.028
0.191,0.104,1.025
0.193,0.112,1.019
0.204,0.136,1.023
0.217,0.143,1.028
0.22,0.156,1.028
0.222,0.169,1.025
0.218,0.174,1.025
0.234,0.169,1.022
0.233,0.168,1.013
0.239,0.168,1.004
0.249,0.175,1.002
0.258,0.183,0.999
0.266,0.189,0.994
0.263,0.203,0.988
0.26,0.214,0.984
0.242,0.221,0.981
0.25,0.227,0.979
0.256,0.231,0.972
0.264,0.231,0.963
0.283,0.229,0.961
0.281,0.241,0.951
0.299,0.244,0.965
0.302,0.281,0.957
0.267,0.285,0.947
0.249,0.261,0.955
0.442,0.36,1.366
0.508,0.371,1.334
0.439,0.356,1.247
0.266,0.349,1.25
0.254,0.33,1.23
0.297,0.314,1.181
0.287,0.295,1.173
0.315,0.297,1.169
0.365,0.293,1.161
0.371,0.274,1.145
0.367,0.256,1.114
0.329,0.256,1.082
0.259,0.251,1.061
0.219,0.245,1.009
0.127,0.207,0.978
0.111,0.161,0.925
0.079,0.127,0.886
0.053,0.08,0.88
0.053,0.072,0.886
0.073,0.066,0.882
0.058,0.069,0.895
0.072,0.078,0.904
0.089,0.084,0.911
0.12,0.1,0.916
0.133,0.109,0.926
0.132,0.112,0.93
0.157,0.112,0.935
0.182,0.105,0.936
0.189,0.093,0.942
0.189,0.085,0.933
0.173,0.075,0.919
0.164,0.072,0.914
0.16,0.077,0.897
0.143,0.079,0.881
0.14,0.084,0.878
0.142,0.082,0.882
0.16,0.081,0.892
0.175,0.078,0.916
0.172,0.05,0.935
0.171,0.027,0.957
0.186,-0.008,0.974
0.2,-0.043,0.996
0.177,-0.073,1.004
0.19,-0.119,1.033
0.198,-0.146,1.145
0.268,-0.28,1.25
0.333,-0.263,1.394
0.342,-0.183,1.356
0.302,-0.144,1.207
0.219,-0.086,1.122
0.182,-0.071,0.991
0.142,-0.071,0.918
0.151,-0.087,0.909
0.163,-0.111,0.91
0.185,-0.118,0.919
0.208,-0.121,0.922
0.218,-0.11,0.933
